aX,aY,aZ,gX,gY,gZ,ts
0.32,0.122,-0.075,-50.232,-370.361,-244.568,0
0.3,0.015,-0.058,-45.898,-367.371,-220.154,0
0.25,-0.096,-0.009,-50.171,-358.948,-230.469,0
0.225,-0.07,0.033,-45.837,-353.333,-233.032,0
0.182,-0.058,0.118,-45.166,-342.773,-235.229,0
0.194,-0.054,0.198,-48.584,-331.238,-242.798,0
0.093,-0.062,0.266,-50.537,-318.359,-238.525,0
0,-0.093,0.314,-53.772,-317.078,-238.77,0
-0.036,-0.087,0.317,-56.458,-330.811,-234.68,0
-0.043,-0.128,0.291,-59.021,-350.83,-220.398,0
-0.074,-0.175,0.281,-61.646,-367.004,-210.876,0
-0.084,-0.197,0.35,-65.063,-387.268,-210.999,0
-0.022,-0.225,0.403,-63.049,-401.855,-211.609,0
0.02,-0.258,0.454,-54.077,-393.494,-210.449,0
-0.101,-0.234,0.46,-40.283,-370.3,-203.735,0
-0.185,-0.22,0.444,-25.085,-351.44,-184.998,0
-0.192,-0.224,0.411,-10.132,-338.989,-162.354,0
-0.137,-0.135,0.323,0.427,-328.003,-143.005,0
-0.175,0,0.22,-7.568,-315.063,-135.803,0
-0.252,0.074,0.106,-41.87,-303.101,-142.578,0
-0.337,0.168,0.054,-94.971,-295.105,-157.104,0
-0.409,0.231,0.186,-160.156,-291.321,-177.917,0
-0.447,0.115,0.462,-228.333,-280.579,-200.134,0
-0.474,-0.051,0.662,-270.508,-254.333,-208.984,0
-0.412,-0.104,0.794,-279.297,-227.112,-200.073,0
-0.296,-0.113,0.972,-270.996,-206.116,-178.894,0
-0.208,-0.129,1.149,-256.409,-195.984,-151.611,0
-0.234,-0.091,1.305,-238.159,-187.5,-122.07,0
-0.286,0.09,1.489,-222.107,-175.293,-98.389,0
-0.354,0.208,1.796,-219.91,-160.461,-83.984,0
-0.426,0.289,2.112,-225.22,-135.986,-78.186,0
-0.43,0.403,2.311,-218.384,-107.178,-75.562,0
-0.478,0.481,2.53,-191.467,-82.214,-76.721,0
-0.502,0.617,2.689,-150.024,-53.711,-75.378,0
-0.597,0.667,2.73,-110.046,-24.902,-75.684,0
-0.455,0.528,2.724,-75.684,3.113,-66.956,0
-0.372,0.62,2.651,-39.673,26.978,-63.049,0
-0.271,0.526,2.591,-4.15,70.984,-52.917,0
-0.159,0.629,2.455,29.663,113.77,-58.96,0
-0.066,0.563,2.356,49.194,162.537,-60.364,0
-0.016,0.514,2.239,61.646,205.566,-76.416,0
0.039,0.53,2.123,68.359,239.746,-93.506,0
0.2,0.417,1.966,69.031,266.418,-108.032,0
0.302,0.339,1.828,75.378,299.194,-126.221,0
0.39,0.329,1.699,85.815,334.656,-137.451,0
0.405,0.285,1.645,94.543,364.685,-149.17,0
0.461,0.195,1.602,104.736,380.432,-170.105,0
0.608,0.225,1.487,123.169,402.344,-191.956,0
0.627,0.325,1.369,138.855,441.04,-211.853,0
0.547,0.403,1.26,141.724,479.98,-238.098,0
0.497,0.499,1.112,132.629,511.78,-266.235,0
0.305,0.612,0.988,110.046,529.053,-284.668,0
0.193,0.515,0.847,76.05,531.25,-294.189,0
0.04,0.517,0.755,41.931,527.588,-306.519,0
-0.052,0.37,0.715,12.573,508.85,-309.448,0
-0.028,0.178,0.698,-9.705,477.6,-321.106,0
-0.052,0.201,0.634,-17.334,449.707,-330.261,0
-0.058,0.144,0.598,-22.4,432.983,-334.473,0
-0.098,0.054,0.57,-22.278,422.913,-323.975,0
-0.18,0.01,0.52,-20.142,415.955,-310.913,0
-0.362,0.006,0.473,-19.287,407.104,-292.419,0
-0.578,-0.104,0.458,-23.499,387.329,-268.494,0
-0.686,-0.186,0.723,-25.879,348.633,-247.498,0
-0.725,-0.382,0.629,-17.883,312.317,-219.971,0
-0.903,-0.267,0.331,0.061,250,-177.49,0
-0.684,-0.469,0.285,18.982,178.833,-128.418,0
-0.61,-0.416,0.228,45.105,147.888,-59.509,0
-0.644,-0.397,0.224,54.016,130.615,-3.967,0
-0.649,-0.456,0.246,57.19,109.863,47.058,0
-0.622,-0.35,0.224,70.19,87.341,107.361,0
-0.432,-0.658,0.14,76.172,71.594,160.889,0
-0.528,-0.756,0.096,72.998,65.063,94.299,0
-0.395,-0.195,0.015,106.262,72.266,78.43,0
-0.223,-0.321,-0.087,120.911,73.486,167.419,0
-0.219,-0.555,-0.056,105.835,94.421,189.392,0
-0.139,-0.471,-0.122,110.352,109.802,203.491,0
-0.119,-0.244,-0.255,117.004,127.014,223.755,0
-0.108,-0.098,-0.395,116.821,134.644,254.883,0
0.009,-0.002,-0.527,104.614,112.732,272.339,1
0.388,0.115,-0.663,96.375,54.199,276.978,1
0.969,0.318,-0.707,96.924,-23.499,265.747,1
1.634,0.654,-0.738,98.816,-89.417,244.446,1
2.245,0.886,-0.678,86.365,-115.234,213.135,1
2.683,0.915,-0.557,64.941,-98.328,174.927,1
2.925,1.234,-0.522,44.739,-52.612,124.695,1
