aX,aY,aZ,gX,gY,gZ,ts
-0.448,-0.079,0.68,-171.997,-38.696,53.223,1
-0.408,-0.101,0.829,-194.885,-36.011,59.143,1
-0.379,-0.121,0.995,-210.632,-34.424,62.073,1
-0.39,-0.104,1.128,-210.022,-33.63,70.496,1
-0.373,-0.13,1.243,-197.693,-36.499,85.144,1
-0.384,-0.122,1.359,-174.255,-46.448,103.577,1
-0.383,-0.078,1.403,-144.043,-62.988,128.784,1
-0.301,-0.054,1.435,-116.943,-74.829,152.588,1
-0.167,0.124,1.443,-94.91,-81.36,173.767,1
-0.094,0.017,1.456,-82.336,-82.52,213.074,1
0.021,0.108,1.455,-81.848,-81.848,204.773,1
0.043,0.1,1.461,-82.214,-64.575,207.825,1
-0.025,0.105,1.504,-86.67,-46.143,206.36,1
0.076,-0.031,1.526,-84.595,-33.936,202.148,1
-0.009,0.135,1.599,-81.116,-23.743,184.875,1
0.065,0.106,1.581,-72.51,-29.358,216.431,1
0.137,0.129,1.622,-60.364,-43.823,253.174,1
0.155,-0.018,1.648,-41.687,-41.626,265.198,1
0.093,0.109,1.655,-13.306,-52.856,259.521,1
0.155,0.149,1.655,12.085,-68.726,263.672,1
0.216,0.238,1.622,25.208,-91.98,263.672,1
0.264,0.241,1.639,27.649,-106.14,262.024,1
0.337,0.187,1.662,26.611,-114.807,259.155,1
0.338,0.323,1.675,27.71,-114.99,251.831,1
0.352,0.29,1.68,24.353,-111.816,254.761,1
0.323,0.138,1.702,21.301,-110.229,262.512,1
0.402,0.099,1.712,31.189,-112.427,234.497,1
0.294,0.354,1.69,46.753,-112.488,214.661,1
0.351,0.272,1.713,50.964,-107.91,230.103,1
0.302,0.213,1.702,55.603,-114.319,251.221,1
0.278,0.261,1.705,64.697,-127.808,243.53,1
0.328,0.3,1.687,74.524,-134.766,242.859,1
0.467,0.317,1.643,81.055,-132.019,243.774,1
0.612,0.439,1.548,86.243,-117.981,246.826,1
0.602,0.411,1.492,82.214,-92.468,260.62,1
0.622,0.333,1.464,75.989,-74.341,255.981,1
0.629,0.447,1.41,76.843,-66.65,246.094,1
0.631,0.379,1.358,72.51,-55.176,246.338,1
0.598,0.318,1.296,72.205,-44.8,242.432,1
0.583,0.321,1.253,78.796,-43.518,229.614,1
0.574,0.325,1.167,84.351,-54.382,215.698,1
0.682,0.348,1.125,87.708,-60.974,203.979,1
