aX,aY,aZ,gX,gY,gZ,ts
0.292,0.44,0.161,-63.965,143.25,-451.843,0
0.182,0.347,0.157,-73.73,157.166,-451.355,0
0.055,0.27,0.15,-82.825,164.978,-452.759,0
0.002,0.245,0.15,-87.83,163.696,-450.378,0
0.025,0.258,0.163,-92.468,160.706,-437.683,0
0.106,0.202,0.152,-101.746,169.861,-417.786,0
0.068,0.136,0.174,-120.361,190.491,-422.302,0
-0.037,0.165,0.223,-131.348,207.092,-429.138,0
-0.123,0.147,0.262,-138.611,221.619,-419.861,0
-0.235,0.08,0.275,-151.794,236.511,-409.485,0
-0.39,0.011,0.268,-162.659,245.789,-394.043,0
-0.527,-0.092,0.264,-169.189,243.652,-372.742,0
-0.721,-0.229,0.257,-169.495,228.455,-349.304,0
-0.771,-0.275,0.255,-162.781,199.768,-326.904,0
-0.882,-0.262,0.279,-152.893,171.997,-302.063,0
-0.938,-0.315,0.336,-149.475,142.578,-266.418,0
-0.914,-0.375,0.366,-149.048,116.821,-231.079,0
-1.078,-0.493,0.439,-142.883,95.886,-197.021,0
-1.187,-0.544,0.517,-123.962,59.875,-164.062,0
-1.143,-0.653,0.544,-100.891,15.076,-133.301,0
-1.1,-0.66,0.458,-76.843,-14.16,-109.009,0
-1.15,-0.621,0.441,-58.044,-18.311,-64.758,0
-1.012,-0.555,0.393,-43.945,0.183,-12.634,0
-0.985,-0.612,0.381,-42.603,20.752,36.255,0
-1.213,-0.867,0.39,-42.908,24.048,81.055,0
-1.195,-0.837,0.396,-33.447,4.089,95.825,0
-1.286,-0.69,0.377,-22.644,-5.981,126.465,0
-1.286,-0.74,0.356,-26.428,-19.531,177.673,0
-1.207,-0.784,0.281,-27.588,-42.48,227.905,0
-1.029,-0.731,0.167,-18.86,-61.096,285.889,0
-1.02,-0.672,0.093,-17.212,-75.806,345.398,0
-0.889,-0.639,0.016,-25.757,-100.037,396.973,0
-0.69,-0.559,-0.12,-33.203,-115.479,448.669,0
-0.502,-0.476,-0.094,-46.082,-109.009,496.338,0
-0.381,-0.507,0.003,-66.895,-92.896,529.358,0
-0.075,-0.645,0.149,-78.857,-71.716,552.795,0
0.289,-0.883,0.231,-72.083,-40.894,568.115,0
0.541,-0.955,0.329,-44.189,6.226,568.909,0
0.65,-0.91,0.329,-3.235,61.646,559.937,0
0.685,-0.765,0.37,44.922,104.248,553.406,0
0.599,-0.548,0.234,99.609,134.521,540.039,0
0.656,-0.153,0.144,157.959,151.062,515.32,0
0.654,0.302,0.031,199.28,152.344,480.53,0
0.68,0.545,-0.128,210.571,128.967,435.425,0
0.722,0.751,-0.314,204.346,81.665,380.493,0
0.887,0.893,-0.339,181.091,21.851,321.289,0
1.117,0.97,-0.29,136.597,-38.208,262.268,0
1.342,1.067,-0.21,83.74,-80.383,205.566,0
1.489,1.099,-0.159,26.672,-89.844,150.085,0
1.584,1.066,-0.104,-28.381,-74.402,97.168,0
1.547,0.99,-0.047,-76.355,-45.776,49.744,0
1.5,0.844,-0.031,-112.61,-12.085,16.663,0
1.445,0.684,0.032,-132.141,23.132,-0.122,0
1.3,0.484,0.076,-138.733,50.049,-6.226,0
1.196,0.286,0.074,-129.578,59.082,-7.507,0
1.151,0.193,0.044,-105.774,53.223,-4.944,0
1.129,0.068,0.017,-80.994,41.809,-1.343,0
1.111,0.011,0.004,-55.298,30.457,3.235,0
1.066,-0.003,0.027,-31.189,19.287,7.935,0
1.059,-0.033,0.036,-14.465,7.874,12.329,0
1.07,-0.074,0.033,-2.563,-1.831,14.771,0
1.057,-0.081,0.031,8.85,-6.897,14.954,0
1.045,-0.089,0.028,17.334,-10.132,13.855,0
1.026,-0.089,0.018,21.79,-13.062,10.376,0
1.059,-0.054,0.013,21.79,-13.977,6.287,0
1.066,-0.062,0.002,14.404,-9.705,4.883,0
1.052,-0.082,0.001,2.747,-1.831,4.028,0
1.033,-0.137,0.016,-6.653,7.629,1.465,0
0.99,-0.173,0.027,-10.925,13.062,-5.859,0
