aX,aY,aZ,gX,gY,gZ,ts
1.54,0.708,-0.387,7.751,-218.079,-122.131,0
1.55,0.695,-0.293,13.672,-229.919,-141.052,0
1.581,0.687,-0.203,18.311,-237.244,-161.682,0
1.598,0.663,-0.09,20.996,-239.685,-183.899,0
1.595,0.622,0.007,22.217,-236.145,-207.642,0
1.564,0.564,0.111,24.109,-230.347,-231.506,0
1.516,0.514,0.202,29.541,-221.497,-254.272,0
1.476,0.487,0.254,39.917,-206.482,-275.452,0
1.421,0.488,0.257,53.772,-186.096,-293.03,0
1.305,0.474,0.266,65.674,-164.551,-305.603,0
1.154,0.479,0.297,73.914,-142.09,-311.218,0
1.006,0.461,0.339,78.491,-118.469,-311.768,0
0.887,0.398,0.364,78.43,-100.159,-311.584,0
0.824,0.325,0.381,78.247,-90.515,-312.073,0
0.785,0.288,0.385,82.092,-81.421,-314.026,0
0.711,0.257,0.387,87.83,-66.406,-318.115,0
0.626,0.248,0.399,93.384,-43.945,-320.312,0
0.53,0.242,0.386,97.412,-22.461,-317.139,0
0.417,0.197,0.351,97.351,-10.559,-314.941,0
0.327,0.14,0.305,96.985,-5.92,-312.439,0
0.263,0.092,0.248,98.267,-3.54,-306.58,0
0.154,0.016,0.223,99.67,-2.258,-295.898,0
0.059,-0.055,0.22,103.333,-3.723,-283.691,0
0.007,-0.128,0.209,110.229,-6.958,-269.226,0
-0.047,-0.192,0.19,119.446,-10.01,-252.991,0
-0.068,-0.225,0.144,130.554,-16.174,-233.948,0
-0.065,-0.281,0.058,141.052,-26.489,-213.257,0
-0.057,-0.331,-0.032,148.315,-36.56,-192.139,0
-0.044,-0.351,-0.13,153.198,-41.748,-173.645,0
-0.047,-0.382,-0.213,153.381,-41.748,-157.593,0
-0.049,-0.405,-0.293,151.794,-37.842,-142.883,0
-0.069,-0.433,-0.348,149.658,-36.438,-130.432,0
-0.018,-0.447,-0.414,146.912,-37.72,-119.507,0
0.017,-0.446,-0.502,140.076,-40.955,-112.854,0
0.174,-0.383,-0.74,121.582,-36.316,-105.225,0
-0.357,-0.314,-1.307,73.853,-22.156,-77.026,0
-0.296,-0.447,-1.301,17.334,-14.038,-50.537,0
0.067,-0.705,-0.944,-26.55,1.282,-29.541,0
-0.046,-0.783,-0.773,-35.461,17.761,-31.86,0
0.03,-0.701,-0.695,-30.029,18.127,-34.363,0
0.162,-0.689,-0.699,-35.217,9.949,-28.87,0
0.233,-0.677,-0.736,-49.194,-1.648,-25.757,0
0.317,-0.654,-0.743,-69.702,-7.751,-20.752,0
0.302,-0.693,-0.682,-97.168,-5.92,-12.634,0
0.328,-0.731,-0.597,-121.155,-2.625,-0.61,0
0.386,-0.743,-0.502,-139.832,2.197,7.263,0
0.362,-0.75,-0.392,-154.846,8.911,11.414,0
0.344,-0.797,-0.286,-165.161,12.268,17.029,0
0.292,-0.816,-0.212,-166.931,5.554,21.118,0
0.294,-0.794,-0.163,-161.682,-9.033,24.963,0
0.296,-0.744,-0.116,-156.189,-27.466,26.611,0
0.292,-0.663,-0.073,-154.358,-45.227,25.513,0
0.284,-0.585,-0.018,-157.715,-61.89,23.926,0
0.314,-0.559,0.069,-165.771,-77.393,23.621,0
0.359,-0.555,0.177,-173.767,-85.449,24.536,0
0.366,-0.571,0.232,-177.551,-85.022,26.428,0
0.383,-0.566,0.247,-174.866,-83.13,29.236,0
0.366,-0.536,0.254,-168.701,-80.688,31.616,0
0.364,-0.455,0.268,-164.429,-77.332,32.898,0
0.282,-0.411,0.292,-166.138,-74.707,33.752,0
0.266,-0.381,0.325,-170.593,-78.064,33.63,0
0.254,-0.323,0.372,-174.133,-84.412,31.738,0
0.253,-0.298,0.427,-178.528,-88.684,30.09,0
0.306,-0.299,0.494,-182.556,-91.248,28.748,0
0.354,-0.283,0.588,-182.556,-88.379,29.114,0
0.403,-0.266,0.66,-178.833,-80.444,32.104,0
0.401,-0.254,0.757,-173.523,-70.251,36.621,0
0.431,-0.269,0.852,-166.138,-59.753,41.382,0
0.49,-0.224,0.928,-153.748,-52.49,48.462,0
0.53,-0.139,1.005,-139.221,-49.561,55.054,0
0.598,-0.047,1.097,-127.747,-52.368,59.57,0
0.675,0.03,1.199,-119.812,-58.838,61.646,0
0.729,0.088,1.271,-116.15,-63.293,60.059,0
0.761,0.108,1.341,-116.699,-65.613,54.688,0
0.783,0.083,1.414,-116.76,-65.063,47.363,0
0.855,-0.035,1.485,-111.45,-60.364,41.931,0
0.845,-0.065,1.49,-96.313,-54.688,31.86,0
0.864,0.001,1.478,-75.562,-37.659,28.687,0
0.769,-0.073,1.437,-64.819,-23.01,27.466,0
0.791,-0.093,1.406,-49.927,-12.329,19.47,0
0.77,-0.172,1.374,-37.537,-8.362,15.869,0
0.642,0.023,1.247,-26.062,-1.343,3.113,0
0.729,-0.153,1.245,-22.888,19.165,6.47,0
0.494,-0.19,1.204,-28.381,16.296,-4.211,0
0.59,-0.206,1.155,-21.362,4.578,-5.493,0
0.524,-0.193,1.048,-21.851,-1.587,-3.113,0
0.535,-0.278,1.027,-23.926,6.775,3.784,0
0.487,-0.417,1.025,-21.606,3.723,4.517,0
0.497,-0.295,0.966,-5.188,-0.427,0,0
0.528,-0.326,0.904,4.089,1.465,2.502,0
0.5,-0.286,0.86,8.606,6.042,3.662,0
0.491,-0.342,0.85,10.437,6.775,2.808,0
0.484,-0.249,0.797,14.709,0.366,-1.221,0
0.473,-0.21,0.766,14.587,5.92,3.418,0
0.514,-0.334,0.772,5.92,5.798,3.906,0
0.489,-0.282,0.765,8.484,1.892,-2.075,0
0.508,-0.22,0.753,9.521,0.916,-3.113,0
0.52,-0.304,0.749,2.991,7.568,-1.404,0
0.474,-0.29,0.759,1.587,12.146,-3.479,0
0.484,-0.253,0.749,2.075,12.39,-2.441,0
0.48,-0.279,0.737,-0.549,15.259,-0.305,0
0.433,-0.298,0.754,-0.732,16.846,-0.427,0
0.428,-0.282,0.759,3.845,11.536,-1.221,0
0.454,-0.266,0.743,7.019,4.883,-0.244,0
0.448,-0.266,0.749,6.836,0.671,1.16,0
0.458,-0.268,0.755,5.554,-5.249,1.526,0
0.473,-0.257,0.758,4.15,-9.521,1.831,0
0.479,-0.256,0.763,2.014,-10.01,2.686,0
0.478,-0.258,0.768,-0.854,-10.315,3.662,0
1.263,1.004,-0.509,-30.701,-5.554,49.805,0
1.369,1.061,-0.476,-59.57,-2.563,69.885,0
1.471,1.087,-0.45,-85.51,-4.089,83.13,0
1.623,1.047,-0.516,-101.257,-11.414,84.778,0
1.634,1.02,-0.526,-113.342,-19.409,71.655,0
1.584,0.963,-0.541,-122.62,-24.841,46.448,0
1.533,0.837,-0.49,-123.352,-48.767,13.672,0
1.464,0.773,-0.398,-109.375,-91.797,-23.743,0
1.503,0.728,-0.331,-86.792,-144.165,-58.899,0
1.563,0.679,-0.284,-56.519,-195.74,-85.083,0
1.591,0.645,-0.23,-20.813,-241.455,-101.807,0
1.671,0.643,-0.112,10.376,-268.494,-120.239,0
1.712,0.701,-0.015,37.476,-277.466,-134.399,0
1.761,0.737,0.084,52.795,-268.311,-152.71,0
1.781,0.764,0.146,60.486,-237.854,-174.194,0
1.693,0.78,0.194,63.721,-194.519,-200.378,0
1.563,0.844,0.256,62.744,-150.146,-228.394,0
1.413,0.813,0.29,56.03,-115.295,-256.531,0
1.244,0.738,0.311,48.523,-88.501,-282.776,0
1.08,0.697,0.332,45.166,-69.397,-305.603,0
0.932,0.651,0.354,45.959,-56.824,-322.876,0
0.819,0.542,0.413,50.598,-51.025,-333.313,0
0.745,0.468,0.465,62.805,-50.842,-338.745,0
0.664,0.429,0.478,80.2,-54.016,-339.905,0
0.58,0.379,0.458,97.9,-58.35,-336.365,0
0.537,0.377,0.395,114.38,-64.148,-330.933,0
0.473,0.348,0.339,126.465,-68.115,-319.519,0
0.402,0.284,0.289,128.174,-66.162,-315.247,0
0.328,0.286,0.269,130.005,-60.364,-303.772,0
0.289,0.161,0.275,126.099,-55.542,-293.823,0
0.282,0.1,0.281,124.268,-49.377,-291.199,0
0.196,0.087,0.271,129.089,-41.565,-282.41,0
0.145,-0.145,0.282,132.446,-38.818,-277.039,0
0.185,-0.158,0.218,142.456,-43.03,-295.105,0
0.118,-0.063,0.159,159.729,-35.706,-274.719,0
0.032,-0.167,0.09,155.64,-38.452,-257.385,0
0.01,-0.17,0.045,152.222,-42.236,-240.723,0
0.046,-0.27,-0.004,144.226,-42.542,-220.154,0
0.022,-0.314,-0.075,136.414,-39.734,-202.393,0
0.008,-0.394,-0.118,131.348,-32.288,-182.312,0
0.007,-0.48,-0.163,128.296,-25.818,-168.396,0
-0.015,-0.465,-0.222,128.052,-20.813,-157.471,0
-0.054,-0.476,-0.278,124.146,-16.479,-144.775,0
-0.065,-0.511,-0.351,116.211,-17.517,-130.493,0
-0.065,-0.534,-0.429,106.384,-21.179,-116.577,0
0.021,-0.569,-0.511,94.238,-23.621,-104.004,0
-0.001,-0.519,-0.586,78.247,-19.897,-91.797,0
0.007,-0.578,-0.671,53.528,-15.869,-73.242,0
0.02,-0.649,-0.751,23.804,-8.85,-57.007,0
-0.022,-0.668,-0.754,-2.197,-2.625,-43.579,0
0.026,-0.715,-0.683,-21.118,7.263,-30.701,0
0.029,-0.711,-0.628,-36.316,13.489,-23.071,0
0.145,-0.787,-0.58,-47.729,16.907,-6.409,0
0.14,-0.79,-0.568,-57.617,21.24,-4.7,0
